word,success,wrong_guesses,repeated_guesses,num_steps,guesses_seq
marmar,1,2,0,6,a n l r m
janet,0,6,0,11,a l n e m r s d t p
dentistical,1,4,0,14,s e r t i n c o a l p m d
troveless,0,6,0,13,s e r a i o b n p t l m
unnotify,0,6,0,11,a s e i n t o g c l
gastrostenosis,0,6,0,15,s i t e r n p c a o m b h d
preaffiliation,0,6,0,15,s a t i n l c r b p m e d g
obpyriform,0,6,0,11,s a e o n r i m l u
veratrinize,1,4,0,13,s a t e i r n c v d l z
protection,1,2,0,11,s a e r o n t i p c
guileless,0,6,0,11,s e r a u l b p c q
phototactic,1,1,0,9,s a t i c p o h
triloculate,1,3,0,13,s a t e i n c o h r u l
trustee,0,6,0,10,a s e h p c t i o
sextole,0,6,0,12,a s e r n t o l p b c
wusp,0,6,0,9,a s t e u h c m
shawled,0,6,0,13,a l e r t s n d b c h g
cressed,1,2,0,8,a s e r d b c
always,0,6,0,10,a t l n i r c s e
guato,0,6,0,9,a s r l n t e i
undazzling,0,6,0,13,s a t n g l i u h r c b
timbromaniac,0,6,0,15,s a n t i c o l d r m e p u
unstraightforward,0,6,0,15,s t e i a n r o c d l m p v
bodleian,0,6,0,10,a n s i c r p u t
catechesis,1,4,0,12,s i a r l n t e d c h
atrebates,0,6,0,12,s a t i e r n l m d c
drate,0,6,0,11,a s r t e p u c b o
upcrowd,0,6,0,10,a s e u n r i o l
johnin,0,6,0,10,a s e u o n i c p
ventripyramid,0,6,0,17,s a l n c e t i o d r p h m v u
demency,0,6,0,9,a s e r n o i t
muskroot,0,6,0,11,a s e i o t p c u h
inframammary,0,6,0,11,s a t l n r e i o c
observandum,0,6,0,15,s t e r a n i c p g o d u l
poulard,0,6,0,11,a t r i e s o m p n
rotaman,0,6,0,11,a n s u m p c t d b
totonac,1,5,0,11,a n l p r t i c e o
eulamellibranchia,1,5,0,17,s a t l n e i c o d r h p b m u
brolga,0,6,0,9,a s c p r i e u
sleb,0,6,0,10,a s e r t n d l y
comic,0,6,0,8,a s e u o r n
dullity,0,6,0,10,a s e u n l o i c
annotatory,1,3,0,10,s a t i e r n o y
cephalanthous,1,4,0,16,s e r n i t a o l d m c p h u
nongraduated,1,5,0,15,s a n t e r l c d i o g m u
thokish,0,6,0,12,a s t e i o h r n l m
uncensuring,1,4,0,13,s e i n t a o c g u l r
eluviation,0,6,0,13,s a t i n o p c r u m b
marcellian,1,4,0,13,s a l n t r i e m d v c
periodicalist,1,3,0,15,s e t r o n m p u l i c a d
bafta,0,6,0,9,a l n r t m c p
cingular,1,3,0,12,a n i e o t l c r g u
isobarometric,0,6,0,15,s t e i c o n r l m u p g d
tonelessly,0,6,0,12,s e t i o m c h p n u
rebaptize,0,6,0,11,s a n t i c p o d l
sentition,1,1,0,8,s t i o n u e
presternum,1,5,0,14,s t e r a i o y u n l m p
mirak,0,6,0,10,a l n s r t m e c
gynandromorphous,1,4,0,17,s a n t e c i p o g d r h u m y
memoir,0,6,0,9,a s e r t d l n
inobnoxious,0,6,0,11,s a u o n r l m p t
commorant,1,4,0,12,s a t n c o v r u l m
widdendream,0,6,0,11,s a l n e t c r p b
cometic,1,5,0,12,a s e r n t i c o l m
costophrenic,1,4,0,15,s t i a o n c r u l m p e h
radially,0,6,0,11,a l y c n t r s b m
jumma,0,6,0,9,a s u n r l t b
analysis,1,5,0,12,a n r l e i o c s u y
murmuration,0,6,0,14,s a t i n o c p r m b d e
bandboxical,0,6,0,14,s a l r c n e t i g o d m
circumhorizontal,0,6,0,18,s a t n l c o h r e i u p d z g b
unrubbish,1,5,0,13,s e t i a h o r p b u n
roquelaure,0,6,0,13,s a l r e i o n u m g c
flaxseed,0,6,0,12,a t l n r s u i e d b
carcinolytic,1,2,0,12,s a l e t i n c o y r
pachyglossate,1,4,0,16,s e p a l t n r c o h i y b g
crackable,1,4,0,12,s a l e b c h r t i k
unbuoyed,0,6,0,12,a s e r n d i o t u l
adinole,1,3,0,11,a n t i e g d o r l
glossopalatinus,0,6,0,14,s i t c n p h e a u m r b
palaeosophy,1,3,0,12,s e t a i c h o y p l
afterglow,0,6,0,12,s a t i e r o p n u m
apoplastogamous,1,5,0,15,s e t i a r l n c o u m p g
guaiol,0,6,0,11,a r s n l t c g o b
utriculoplastic,1,2,0,13,s t i n c o r a h u l p
agral,1,0,0,5,a l g r
nictitation,1,1,0,8,s a t i n o c
proficiently,0,6,0,16,s a e r i o n t h u y l p d m
quaternity,0,6,0,14,s a t e r u n q b c d f g
unoppignorated,1,3,0,15,s a l t e r n d i o u m p g
foreact,0,6,0,11,a t s p n r c u m i
